Date,Year,Month,Day,Prec,StDev,%Time
2005-01-01,2005,1,1,9.7,2,5
2005-01-02,2005,1,2,6.9,2,5
2005-01-03,2005,1,3,0.0,2,5
2005-01-04,2005,1,4,1.4,2,5
2005-01-05,2005,1,5,10.4,2,5
2005-01-06,2005,1,6,5.6,2,5
2005-01-07,2005,1,7,0.0,2,5
2005-01-08,2005,1,8,18.1,2,5
2005-01-09,2005,1,9,8.3,2,5
2005-01-10,2005,1,10,10.4,2,5
2005-01-11,2005,1,11,19.4,2,5
2005-01-12,2005,1,12,2.8,2,5
2005-01-13,2005,1,13,0.7,2,5
2005-01-14,2005,1,14,0.7,2,5
2005-01-15,2005,1,15,0.0,2,5
2005-01-16,2005,1,16,4.9,2,5
2005-01-17,2005,1,17,0.0,2,5
2005-01-18,2005,1,18,0.0,2,5
2005-01-19,2005,1,19,7.6,2,5
2005-01-20,2005,1,20,0.0,2,5
2005-01-21,2005,1,21,0.0,2,5
2005-01-22,2005,1,22,0.0,2,5
2005-01-23,2005,1,23,0.0,2,5
2005-01-24,2005,1,24,0.0,2,5
2005-01-25,2005,1,25,21.5,2,5
2005-01-26,2005,1,26,9.7,2,5
2005-01-27,2005,1,27,0.0,2,5
2005-01-28,2005,1,28,23.6,2,5
2005-01-29,2005,1,29,0.0,2,5
2005-01-30,2005,1,30,0.0,2,5
2005-01-31,2005,1,31,0.0,2,5
2005-02-01,2005,2,1,0.0,2,5
2005-02-02,2005,2,2,0.0,2,5
2005-02-03,2005,2,3,0.0,2,5
2005-02-04,2005,2,4,0.0,2,5
2005-02-05,2005,2,5,0.0,2,5
2005-02-06,2005,2,6,0.0,2,5
2005-02-07,2005,2,7,1.4,2,5
2005-02-08,2005,2,8,1.4,2,5
2005-02-09,2005,2,9,2.1,2,5
2005-02-10,2005,2,10,1.4,2,5
2005-02-11,2005,2,11,0.0,2,5
2005-02-12,2005,2,12,0.0,2,5
2005-02-13,2005,2,13,0.0,2,5
2005-02-14,2005,2,14,0.0,2,5
2005-02-15,2005,2,15,0.0,2,5
2005-02-16,2005,2,16,0.0,2,5
2005-02-17,2005,2,17,5.6,2,5
2005-02-18,2005,2,18,0.0,2,5
2005-02-19,2005,2,19,0.0,2,5
2005-02-20,2005,2,20,0.7,2,5
2005-02-21,2005,2,21,25.0,2,5
2005-02-22,2005,2,22,4.9,2,5
2005-02-23,2005,2,23,0.0,2,5
2005-02-24,2005,2,24,0.0,2,5
2005-02-25,2005,2,25,0.0,2,5
2005-02-26,2005,2,26,1.4,2,5
2005-02-27,2005,2,27,0.0,2,5
2005-02-28,2005,2,28,0.0,2,5
2005-03-01,2005,3,1,0.0,2,5
2005-03-02,2005,3,2,0.0,2,5
2005-03-03,2005,3,3,2.1,2,5
2005-03-04,2005,3,4,0.0,2,5
2005-03-05,2005,3,5,0.0,2,5
2005-03-06,2005,3,6,1.4,2,5
2005-03-07,2005,3,7,0.0,2,5
2005-03-08,2005,3,8,0.0,2,5
2005-03-09,2005,3,9,20.7,2,5
2005-03-10,2005,3,10,0.0,2,5
2005-03-11,2005,3,11,0.0,2,5
2005-03-12,2005,3,12,0.0,2,5
2005-03-13,2005,3,13,0.0,2,5
2005-03-14,2005,3,14,0.7,2,5
2005-03-15,2005,3,15,0.0,2,5
2005-03-16,2005,3,16,0.0,2,5
2005-03-17,2005,3,17,0.0,2,5
2005-03-18,2005,3,18,0.0,2,5
2005-03-19,2005,3,19,1.4,2,5
2005-03-20,2005,3,20,1.4,2,5
2005-03-21,2005,3,21,18.8,2,5
2005-03-22,2005,3,22,5.6,2,5
2005-03-23,2005,3,23,1.4,2,5
2005-03-24,2005,3,24,18.1,2,5
2005-03-25,2005,3,25,4.2,2,5
2005-03-26,2005,3,26,12.5,2,5
2005-03-27,2005,3,27,4.9,2,5
2005-03-28,2005,3,28,2.1,2,5
2005-03-29,2005,3,29,0.0,2,5
2005-03-30,2005,3,30,5.6,2,5
2005-03-31,2005,3,31,0.7,2,5
2005-04-01,2005,4,1,9.0,2,5
2005-04-02,2005,4,2,0.0,2,5
2005-04-03,2005,4,3,0.0,2,5
2005-04-04,2005,4,4,0.0,2,5
2005-04-05,2005,4,5,0.0,2,5
2005-04-06,2005,4,6,0.0,2,5
2005-04-07,2005,4,7,0.0,2,5
2005-04-08,2005,4,8,0.0,2,5
2005-04-09,2005,4,9,0.0,2,5
2005-04-10,2005,4,10,0.0,2,5
2005-04-11,2005,4,11,0.0,2,5
2005-04-12,2005,4,12,0.7,2,5
2005-04-13,2005,4,13,0.0,2,5
2005-04-14,2005,4,14,0.0,2,5
2005-04-15,2005,4,15,0.0,2,5
2005-04-16,2005,4,16,0.0,2,5
2005-04-17,2005,4,17,12.5,2,5
2005-04-18,2005,4,18,0.0,2,5
2005-04-19,2005,4,19,0.0,2,5
2005-04-20,2005,4,20,2.1,2,5
2005-04-21,2005,4,21,1.4,2,5
2005-04-22,2005,4,22,0.0,2,5
2005-04-23,2005,4,23,0.0,2,5
2005-04-24,2005,4,24,0.0,2,5
2005-04-25,2005,4,25,0.0,2,5
2005-04-26,2005,4,26,0.0,2,5
2005-04-27,2005,4,27,11.1,2,5
2005-04-28,2005,4,28,0.0,2,5
2005-04-29,2005,4,29,0.0,2,5
2005-04-30,2005,4,30,0.0,2,5
2005-05-01,2005,5,1,12.5,2,5
2005-05-02,2005,5,2,10.4,2,5
2005-05-03,2005,5,3,20.8,2,5
2005-05-04,2005,5,4,20.8,2,5
2005-05-05,2005,5,5,7.6,2,5
2005-05-06,2005,5,6,15.3,2,5
2005-05-07,2005,5,7,14.6,2,5
2005-05-08,2005,5,8,14.6,2,5
2005-05-09,2005,5,9,1.4,2,5
2005-05-10,2005,5,10,1.4,2,5
2005-05-11,2005,5,11,1.4,2,5
2005-05-12,2005,5,12,0.0,2,5
2005-05-13,2005,5,13,0.0,2,5
2005-05-14,2005,5,14,0.7,2,5
2005-05-15,2005,5,15,0.0,2,5
2005-05-16,2005,5,16,0.0,2,5
