-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2005 through 06/30/2025 in LST
Location: latitude  5.5945   longitude 95.4201 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 180.39 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M_MIN               MERRA-2 Temperature at 2 Meters Minimum (C) 
T2M_MAX               MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS10M                 MERRA-2 Wind Speed at 10 Meters (m/s) 
WS10M_MAX             MERRA-2 Wind Speed at 10 Meters Maximum (m/s) 
WD10M                 MERRA-2 Wind Direction at 10 Meters (Degrees) 
-END HEADER-
YEAR,MO,DY,T2M_MIN,T2M_MAX,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN,WS10M,WS10M_MAX,WD10M
2005,3,2,26.44,29.98,27.88,76.51,5.73,4.71,3.25,5.16,190.9
2005,3,3,25.83,30.14,27.52,78.21,2.72,5.45,3.38,4.43,86.4
2005,3,4,26.05,29.42,27.41,81.31,2.64,5.31,3.94,5.87,64.6
2005,3,5,26.04,28.93,27.36,80.67,1.2,5.52,5.74,7.8,72.6
2005,3,6,25.8,29.84,27.58,78.54,4.72,5.08,4.46,5.46,77.1
2005,3,7,25.92,28.64,27.02,81.16,5.0,5.52,5.38,7.63,63.0
2005,3,8,25.74,28.86,26.97,80.31,1.01,5.74,5.51,7.03,69.4
2005,3,9,24.93,29.63,26.93,76.31,0.12,6.54,4.17,5.35,55.0
2005,3,10,24.04,29.3,26.36,76.3,0.0,6.45,3.55,5.2,35.3
2005,3,11,23.66,29.97,26.67,72.38,0.02,6.26,2.8,3.64,49.4
2005,3,12,24.95,29.97,27.11,75.15,0.0,6.42,2.7,4.08,34.1
2005,3,13,25.53,29.81,27.26,74.47,0.57,5.92,2.54,4.34,21.1
2005,3,14,25.62,29.93,27.28,76.6,2.59,3.74,2.63,3.23,53.9
2005,3,15,25.65,29.92,27.35,79.69,3.12,5.82,2.56,4.23,30.8
2005,3,16,25.99,30.92,28.01,75.84,17.43,4.73,1.69,3.04,117.1
2005,3,17,25.89,28.88,27.08,82.76,4.28,5.53,4.12,6.35,59.4
2005,3,18,25.17,29.99,27.38,78.83,0.17,5.71,5.13,6.89,59.7
2005,3,19,25.79,29.95,27.5,79.28,0.79,5.49,5.28,7.59,59.4
2005,3,20,25.88,29.75,27.55,78.33,2.3,5.23,3.92,6.18,71.2
2005,3,21,26.02,30.25,27.74,77.27,6.35,4.54,2.77,4.59,92.5
2005,3,22,26.33,29.37,27.61,75.73,12.98,3.62,1.39,2.29,287.1
2005,3,23,26.5,31.15,28.46,70.47,0.27,5.6,1.78,3.94,205.2
2005,3,24,26.85,29.64,27.87,76.06,2.67,5.26,1.88,3.37,28.2
2005,3,25,26.6,30.27,27.96,75.84,5.92,4.43,1.63,3.15,350.9
2005,3,26,26.29,29.44,27.52,77.1,16.33,3.67,1.72,3.61,223.6
2005,3,27,25.74,30.41,27.63,77.06,10.98,5.83,2.25,4.03,186.5
2005,3,28,25.74,27.49,26.45,85.32,11.16,3.99,2.1,3.16,247.2
2005,3,29,25.28,28.25,26.44,83.16,5.55,5.33,4.19,5.28,214.9
2005,3,30,24.99,29.92,27.43,77.41,1.13,3.6,2.2,3.56,199.4
2005,3,31,25.65,29.24,26.99,83.3,3.14,5.09,2.73,3.89,239.6
2005,4,1,25.63,31.19,28.01,76.17,0.58,5.34,2.57,4.18,192.2
2005,4,2,25.91,30.29,27.8,77.38,0.67,5.64,3.48,5.55,161.5
2005,4,3,25.97,29.55,27.42,79.16,1.76,5.62,1.67,2.46,106.1
2005,4,4,25.77,29.13,27.15,81.76,1.63,6.01,2.12,3.01,172.7
2005,4,5,25.77,31.03,28.1,72.01,1.47,5.93,2.27,3.92,213.1
2005,4,6,25.47,30.16,27.5,74.98,1.38,6.29,3.01,4.23,262.4
2005,4,7,25.59,30.91,28.22,71.11,0.66,6.11,1.47,2.54,200.9
2005,4,8,25.68,30.53,27.94,71.21,1.42,5.62,4.63,5.93,210.9
2005,4,9,25.36,29.58,27.02,75.34,2.74,5.01,4.97,6.23,200.8
2005,4,10,24.84,30.74,27.6,73.53,0.3,6.59,3.01,3.89,244.6
2005,4,11,26.21,29.5,27.62,77.41,0.31,6.1,2.66,3.79,248.1
2005,4,12,26.45,30.39,27.97,75.7,0.53,6.85,1.88,3.68,340.7
2005,4,13,26.11,31.45,28.32,75.03,0.71,6.55,1.78,3.01,357.9
2005,4,14,26.14,30.09,27.79,79.41,2.28,6.13,2.76,4.61,36.4
2005,4,15,26.02,30.51,28.08,74.95,0.99,5.94,1.95,3.06,55.5
2005,4,16,26.73,30.23,28.24,72.09,3.16,3.81,2.63,3.83,190.1
2005,4,17,25.89,29.45,27.43,72.9,4.72,5.96,1.89,3.27,191.1
2005,4,18,26.58,30.66,28.17,72.13,3.9,6.29,1.47,2.39,340.3
2005,4,19,25.92,31.17,28.34,71.46,0.9,6.68,2.49,3.63,40.8
2005,4,20,26.31,31.13,28.6,73.3,14.49,6.47,3.51,5.23,64.7
2005,4,21,26.77,30.89,28.72,71.62,4.42,4.89,1.55,3.17,81.5
2005,4,22,27.01,29.71,28.06,75.65,2.52,5.26,1.63,2.9,25.8
2005,4,23,27.11,30.52,28.5,75.91,4.82,4.8,1.72,2.65,247.8
2005,4,24,26.57,29.04,27.48,82.65,3.44,3.96,2.55,3.84,310.8
2005,4,25,26.45,29.18,27.69,79.35,0.51,6.44,1.78,2.86,311.2
2005,4,26,26.82,30.49,28.44,75.95,2.63,5.44,1.96,2.5,320.8
2005,4,27,26.98,30.22,28.39,75.48,5.31,4.36,2.13,2.91,294.8
2005,4,28,26.79,30.42,28.41,75.18,1.14,5.62,2.15,3.0,271.4
2005,4,29,26.83,30.79,28.37,78.29,1.74,6.02,1.64,2.53,49.6
2005,4,30,26.84,29.87,28.04,80.64,9.79,5.23,2.48,3.93,345.8
2005,5,1,26.15,29.85,27.8,77.81,8.07,4.07,3.46,4.16,232.0
2005,5,2,26.09,29.97,27.82,80.33,1.42,4.06,2.33,2.84,263.0
2005,5,3,26.4,27.97,27.07,88.0,2.74,5.29,3.85,4.46,304.0
2005,5,4,26.0,29.99,27.67,79.59,1.14,4.63,3.98,4.61,251.6
2005,5,5,25.94,30.12,27.78,78.37,1.19,4.48,4.11,5.49,266.4
2005,5,6,26.18,31.05,28.27,74.82,1.21,5.02,3.44,4.75,239.3
2005,5,7,26.48,30.49,27.96,78.38,4.0,3.99,5.75,7.34,234.1
2005,5,8,26.36,28.66,27.27,82.77,10.83,4.13,6.87,8.03,232.5
2005,5,9,26.43,28.71,27.24,82.9,7.22,2.88,8.62,9.92,233.9
2005,5,10,26.32,28.81,27.28,83.82,4.87,3.6,7.49,8.75,236.4
2005,5,11,26.24,29.19,27.44,80.29,13.54,3.35,7.56,9.53,231.8
2005,5,12,26.13,28.39,26.94,83.08,6.08,2.83,7.31,8.89,241.6
2005,5,13,26.04,29.4,27.54,80.93,6.99,4.99,4.79,5.33,260.5
2005,5,14,26.5,29.15,27.63,81.08,14.21,5.09,5.57,6.55,262.2
2005,5,15,26.34,29.32,27.59,82.27,16.33,2.71,5.8,7.37,241.4
2005,5,16,25.61,28.86,27.07,82.21,7.11,3.33,5.25,7.26,260.9
2005,5,17,25.04,30.0,27.34,79.81,1.02,6.19,4.28,5.55,241.9
2005,5,18,26.47,29.69,27.86,80.04,0.45,6.41,3.4,3.97,234.8
2005,5,19,26.05,30.71,28.12,75.81,0.04,6.36,3.22,4.06,240.0
2005,5,20,25.76,31.08,28.02,73.9,0.12,6.3,2.9,3.82,229.7
2005,5,21,25.4,31.51,28.0,71.92,0.0,6.63,3.47,4.12,231.2
2005,5,22,25.38,31.66,28.2,70.59,0.0,6.39,3.88,4.41,223.6
2005,5,23,25.87,31.59,28.37,71.83,0.03,6.37,4.08,5.06,223.4
2005,5,24,26.0,29.61,27.57,76.51,0.09,5.27,3.82,4.53,235.6
2005,5,25,25.65,28.55,27.0,79.2,3.51,4.09,2.7,3.18,255.0
2005,5,26,25.39,31.07,27.73,75.65,5.13,5.92,1.78,3.33,323.9
2005,5,27,26.33,29.44,27.58,76.44,3.75,5.11,2.34,4.17,225.8
2005,5,28,25.9,29.82,27.65,77.29,1.33,5.43,2.89,3.69,234.2
2005,5,29,26.45,29.23,27.71,77.98,1.54,5.41,2.42,3.21,240.0
2005,5,30,25.82,29.14,27.21,82.3,1.71,3.29,3.66,6.21,261.5
2005,5,31,25.48,28.7,26.93,80.73,1.21,3.35,3.93,4.69,239.0
2005,6,1,25.97,30.04,27.71,78.9,3.53,5.62,4.42,5.63,219.0
2005,6,2,26.35,29.61,27.66,79.45,6.68,4.78,5.42,7.33,228.7
2005,6,3,26.12,29.49,27.48,81.02,16.93,5.7,5.22,6.65,217.5
2005,6,4,26.09,28.61,27.09,84.34,7.16,3.17,6.0,7.3,227.3
2005,6,5,25.66,27.87,26.55,85.47,0.51,4.17,3.83,4.73,256.8
2005,6,6,25.21,29.31,27.05,80.63,1.26,6.44,4.2,5.48,239.9
2005,6,7,25.53,28.29,26.67,82.65,1.7,4.01,5.87,7.0,240.0
2005,6,8,25.67,28.92,27.09,81.07,0.39,4.27,6.14,6.69,230.3
2005,6,9,26.06,29.3,27.39,82.2,0.89,3.14,5.27,6.2,225.6
2005,6,10,25.81,28.11,26.94,83.19,1.37,5.53,2.68,4.01,250.3
2005,6,11,25.94,30.4,27.81,76.95,0.36,6.05,2.68,3.94,249.9
2005,6,12,26.43,29.26,27.53,81.46,1.62,4.75,6.21,7.68,223.4
2005,6,13,25.9,30.07,27.6,76.79,1.93,4.6,6.78,7.58,209.8
2005,6,14,25.51,28.99,27.13,79.06,1.32,3.77,6.66,8.44,236.0
2005,6,15,26.07,29.86,27.52,79.48,2.84,5.72,5.67,6.87,239.9
2005,6,16,25.86,29.04,27.23,80.74,6.45,3.58,7.31,9.22,227.4
2005,6,17,26.31,28.91,27.4,82.27,18.97,2.43,8.11,9.87,232.2
2005,6,18,26.23,28.97,27.31,82.31,20.35,3.76,7.65,9.59,236.0
2005,6,19,25.49,27.77,26.47,84.98,31.08,3.28,7.96,9.44,236.3
2005,6,20,25.09,27.71,26.2,80.88,5.36,3.96,7.96,8.8,209.9
2005,6,21,25.15,28.93,26.78,79.03,0.06,5.14,6.43,8.52,222.2
2005,6,22,25.69,29.12,27.05,78.58,0.55,5.76,5.12,6.22,221.3
2005,6,23,25.68,29.53,27.3,79.43,1.78,5.63,5.66,6.7,207.8
2005,6,24,25.94,28.38,26.96,81.59,0.83,3.2,5.99,7.13,208.7
2005,6,25,25.55,28.6,26.87,78.74,0.56,4.44,5.99,8.52,200.9
2005,6,26,25.56,30.07,27.5,77.44,0.14,6.26,4.9,5.76,209.6
2005,6,27,25.84,29.93,27.45,78.75,0.02,6.17,5.17,6.51,219.9
2005,6,28,25.75,29.39,27.27,78.02,0.03,5.79,6.09,8.16,207.1
2005,6,29,25.43,29.56,27.04,77.85,0.02,5.9,5.0,5.67,211.7
2005,6,30,25.33,31.12,27.98,71.42,0.0,5.71,4.05,5.78,214.7
2005,7,1,25.61,29.83,27.59,74.6,0.0,5.2,2.75,3.1,217.6
2005,7,2,25.76,30.19,27.52,77.25,0.0,6.51,4.31,5.25,234.0
2005,7,3,25.73,29.8,27.41,79.08,0.0,6.33,5.89,7.42,227.7
2005,7,4,25.34,30.52,27.47,73.22,0.0,6.05,5.24,6.76,216.6
2005,7,5,25.08,30.51,27.43,76.11,0.85,6.43,5.0,5.56,237.6
2005,7,6,25.72,27.86,26.74,79.62,7.01,3.44,6.05,8.19,245.3
2005,7,7,25.17,29.34,26.98,74.7,2.82,5.42,6.19,7.88,223.3
2005,7,8,25.77,29.33,27.31,78.56,0.84,5.25,6.65,8.69,220.0
2005,7,9,26.42,29.39,27.58,78.01,1.22,5.51,5.5,5.97,230.3
2005,7,10,25.38,29.14,27.03,78.45,0.66,5.01,5.57,6.86,237.5
2005,7,11,24.9,29.71,27.12,79.96,1.82,5.78,5.35,6.71,245.7
2005,7,12,25.24,28.75,26.94,83.64,6.69,3.64,6.31,9.25,264.5
2005,7,13,24.99,28.09,26.2,82.78,4.71,3.75,5.67,8.01,234.6
2005,7,14,25.2,28.15,26.54,81.35,11.69,3.47,5.2,6.51,217.3
2005,7,15,25.15,29.35,26.95,76.6,1.38,3.58,5.04,6.7,219.4
2005,7,16,24.94,29.68,27.24,71.27,0.09,6.01,2.11,3.47,238.1
2005,7,17,25.79,29.76,27.4,76.29,2.54,5.72,2.73,4.02,263.1
2005,7,18,25.32,29.2,26.9,78.2,1.67,4.34,4.01,4.91,223.2
2005,7,19,25.1,28.56,26.41,80.04,15.21,5.61,6.43,7.83,208.6
2005,7,20,24.96,27.36,26.04,81.14,5.43,3.61,7.32,8.72,217.0
2005,7,21,24.86,28.99,26.58,79.05,0.53,5.2,7.5,9.44,216.4
2005,7,22,25.35,27.42,26.18,81.66,1.36,3.32,8.81,11.24,231.8
2005,7,23,25.64,27.97,26.55,81.4,1.7,4.24,8.06,9.58,214.8
2005,7,24,24.97,28.75,26.77,79.55,0.72,4.44,6.74,7.88,203.6
2005,7,25,25.32,29.85,27.06,77.53,0.22,6.05,7.6,10.07,211.3
2005,7,26,24.79,29.77,26.93,78.15,0.01,5.9,7.55,9.35,209.3
2005,7,27,24.97,30.75,27.46,75.83,0.0,6.4,6.1,6.94,209.8
2005,7,28,25.31,30.46,27.51,75.01,0.0,5.81,5.13,5.89,207.2
2005,7,29,25.53,29.99,27.48,76.95,0.0,6.08,5.51,6.48,216.3
2005,7,30,25.66,29.75,27.22,78.29,0.44,4.72,7.76,9.47,216.1
2005,7,31,25.05,28.81,26.77,78.63,3.59,3.14,8.66,10.78,218.1
2005,8,1,25.81,28.7,27.06,78.05,5.79,3.66,7.13,8.79,220.7
2005,8,2,25.74,28.77,27.02,78.73,2.0,5.01,5.41,6.23,228.8
2005,8,3,25.12,29.84,27.19,76.91,0.3,6.0,5.15,6.03,220.0
2005,8,4,25.49,28.92,26.97,74.47,0.03,4.25,5.69,8.02,223.1
2005,8,5,25.37,30.78,27.66,74.21,0.01,6.25,6.09,7.02,231.0
2005,8,6,25.58,29.73,27.29,76.98,0.0,6.3,6.55,7.14,218.7
2005,8,7,25.84,30.49,27.73,76.37,0.0,6.41,6.97,7.95,213.3
2005,8,8,25.89,30.41,27.92,77.02,0.01,5.33,7.89,9.61,214.0
2005,8,9,26.55,29.35,27.58,78.57,0.33,5.64,8.01,9.97,215.5
2005,8,10,26.11,29.43,27.62,78.78,0.51,6.22,6.93,7.87,220.2
2005,8,11,26.31,29.39,27.63,79.06,4.04,4.54,8.91,10.38,223.9
2005,8,12,26.47,29.33,27.54,77.85,5.3,4.9,9.21,10.36,218.0
2005,8,13,26.16,29.39,27.4,77.56,9.91,4.91,7.61,8.65,211.6
2005,8,14,25.4,30.09,27.63,73.8,0.99,4.48,3.7,6.33,195.1
2005,8,15,26.01,30.16,27.85,72.97,0.58,2.71,1.71,3.57,177.0
2005,8,16,26.07,28.8,27.28,77.74,0.18,5.21,1.85,3.02,272.1
2005,8,17,25.51,30.55,27.56,72.41,0.23,6.28,4.98,7.11,213.4
2005,8,18,25.36,29.42,27.12,77.36,2.47,4.65,7.41,9.27,201.5
2005,8,19,25.07,29.33,26.8,76.19,2.71,5.11,5.32,5.98,206.7
2005,8,20,25.26,27.32,26.25,81.61,1.59,4.1,4.34,5.71,228.0
2005,8,21,25.16,28.5,26.63,78.82,1.25,5.3,4.86,5.79,216.9
2005,8,22,25.25,28.92,26.79,77.25,1.15,3.78,5.55,7.07,223.0
2005,8,23,24.5,28.22,26.15,78.43,2.29,4.37,3.0,4.24,247.3
2005,8,24,24.98,27.8,26.13,80.7,7.71,4.36,3.91,5.21,256.7
2005,8,25,24.73,27.1,25.83,84.52,8.62,2.28,5.76,7.76,283.8
2005,8,26,24.55,27.24,25.64,80.2,4.06,4.15,5.34,6.68,255.0
2005,8,27,24.45,28.64,26.27,76.83,3.14,5.48,6.11,7.04,243.7
2005,8,28,25.22,29.01,26.72,76.37,0.8,5.0,5.22,6.09,244.1
2005,8,29,25.24,29.2,26.97,78.59,1.59,6.34,5.85,8.0,236.9
2005,8,30,25.47,28.63,26.83,80.51,2.91,5.47,4.86,5.39,235.9
2005,8,31,25.4,28.59,26.79,81.93,6.09,3.95,5.14,7.27,237.9
2005,9,1,25.8,28.69,26.97,81.19,18.59,4.13,5.58,6.92,230.1
2005,9,2,25.85,28.85,26.92,80.74,3.58,3.6,7.03,8.82,220.8
2005,9,3,25.3,27.82,26.54,83.87,13.53,4.01,7.07,10.0,220.7
2005,9,4,25.74,28.68,26.8,79.4,6.54,3.61,7.83,9.59,217.8
2005,9,5,25.54,28.88,26.97,79.75,3.65,4.05,5.84,7.11,210.6
2005,9,6,25.11,29.16,26.83,79.3,1.73,4.8,6.79,7.91,215.3
2005,9,7,24.9,30.16,27.05,75.88,1.22,5.72,5.88,7.16,197.5
2005,9,8,24.98,30.69,27.5,73.15,0.03,5.95,4.92,6.11,192.9
2005,9,9,25.24,30.37,27.48,73.34,0.0,6.34,4.63,6.56,191.7
2005,9,10,25.1,31.27,27.62,73.97,0.0,6.89,5.21,6.25,197.8
2005,9,11,25.25,30.92,27.73,73.84,0.0,6.45,4.33,5.3,216.6
2005,9,12,25.26,30.97,27.74,74.16,0.0,6.48,3.65,4.83,237.9
2005,9,13,25.48,29.35,27.02,72.95,0.09,5.67,4.17,5.48,224.2
2005,9,14,24.73,30.11,27.1,74.21,0.04,4.76,3.95,4.45,248.2
2005,9,15,24.98,30.09,27.2,77.24,0.06,6.76,4.87,6.87,242.0
2005,9,16,25.21,29.63,27.14,72.92,0.06,6.37,6.53,8.72,227.3
2005,9,17,25.73,29.93,27.31,75.86,0.72,6.37,7.5,8.79,234.0
2005,9,18,25.23,28.2,26.45,78.02,13.42,4.78,7.54,9.07,232.0
2005,9,19,25.32,29.29,26.89,75.86,3.6,3.09,7.97,9.85,224.7
2005,9,20,24.97,29.97,27.11,78.28,0.7,4.37,3.94,5.0,228.0
2005,9,21,25.31,30.95,27.92,72.08,0.37,6.62,2.64,4.53,213.4
2005,9,22,25.71,28.73,27.14,79.06,3.9,4.08,1.61,2.25,346.1
2005,9,23,25.2,27.31,26.32,81.36,4.47,2.27,1.9,2.57,305.0
2005,9,24,24.9,28.98,26.69,79.56,1.25,6.64,3.05,5.0,279.0
2005,9,25,25.19,30.05,27.09,77.19,1.4,5.92,5.85,7.23,239.8
2005,9,26,24.84,27.87,26.05,80.08,8.62,5.09,6.93,8.93,241.4
2005,9,27,25.01,27.66,25.85,79.84,3.33,4.42,6.35,8.52,228.6
2005,9,28,24.68,27.66,26.18,80.54,0.46,4.89,3.81,4.75,216.1
2005,9,29,25.09,29.41,27.14,76.59,0.9,5.81,2.86,3.86,253.5
2005,9,30,25.24,28.39,26.67,78.29,0.76,2.87,2.94,3.72,242.9
2005,10,1,25.03,28.97,26.68,78.39,5.4,5.37,2.72,3.25,243.0
2005,10,2,25.26,26.96,25.92,83.08,1.88,4.79,3.48,4.09,268.5
2005,10,3,24.7,27.52,26.03,83.1,2.98,4.82,5.1,5.99,242.6
2005,10,4,24.71,27.68,25.93,80.13,3.81,3.07,6.05,7.99,215.8
2005,10,5,24.46,28.52,26.19,80.18,2.32,6.04,5.24,6.05,241.0
2005,10,6,24.98,29.07,26.7,79.62,3.63,5.01,4.48,5.0,256.7
2005,10,7,25.17,27.34,26.11,85.67,9.9,2.82,4.94,6.21,258.8
2005,10,8,24.91,27.25,25.82,87.85,22.1,1.74,4.56,6.46,275.9
2005,10,9,24.66,27.78,25.94,86.07,16.96,3.51,3.51,6.08,309.6
2005,10,10,24.82,26.77,25.66,89.11,9.3,3.84,3.74,5.39,253.8
2005,10,11,24.97,29.2,26.63,82.41,3.35,4.4,4.19,5.6,228.9
2005,10,12,25.18,27.18,25.8,87.07,3.51,3.19,6.01,7.13,262.9
2005,10,13,25.07,28.05,26.31,83.05,3.25,5.22,4.7,5.9,274.2
2005,10,14,25.0,28.64,26.52,79.96,1.71,3.97,2.43,3.3,258.7
2005,10,15,25.01,26.84,25.86,84.71,10.28,3.58,2.95,4.26,239.5
2005,10,16,25.17,28.33,26.43,81.45,4.29,4.36,3.92,5.48,193.9
2005,10,17,24.92,28.79,26.52,78.8,2.92,4.2,2.75,3.86,217.2
2005,10,18,25.03,28.56,26.4,76.07,0.69,4.4,1.77,2.79,253.7
2005,10,19,24.63,28.24,26.17,81.37,1.57,4.35,3.82,5.43,257.6
2005,10,20,24.38,26.09,25.14,86.6,2.57,3.27,3.31,4.12,303.8
2005,10,21,24.41,26.74,25.49,85.72,3.05,2.59,4.79,7.15,262.8
2005,10,22,24.57,28.0,26.2,82.73,1.65,4.08,4.1,4.68,244.8
2005,10,23,25.22,28.26,26.46,82.59,3.27,4.27,5.48,6.65,223.6
2005,10,24,24.77,28.11,26.05,85.04,11.38,1.85,5.93,8.57,247.5
2005,10,25,24.45,29.18,26.39,79.39,0.74,5.44,4.83,5.89,224.3
