Date,Year,Month,Day,RH
2006-11-16,2006,11,16,5
2006-11-17,2006,11,17,5
2006-11-18,2006,11,18,5
2006-11-19,2006,11,19,5
2006-11-20,2006,11,20,5
2006-11-21,2006,11,21,5
2006-11-22,2006,11,22,5
2006-11-23,2006,11,23,5
2006-11-24,2006,11,24,5
2006-11-25,2006,11,25,5
2006-11-26,2006,11,26,5
2007-10-08,2007,10,8,1
2007-10-09,2007,10,9,1
2007-10-10,2007,10,10,1
2007-10-11,2007,10,11,1
2007-10-12,2007,10,12,1
2007-10-13,2007,10,13,1
2007-10-14,2007,10,14,1
2007-10-15,2007,10,15,1
2007-10-16,2007,10,16,1
2007-10-17,2007,10,17,1
2007-10-18,2007,10,18,1
2007-10-19,2007,10,19,1
2007-10-20,2007,10,20,1
2007-10-21,2007,10,21,1
2007-10-22,2007,10,22,1
2007-10-23,2007,10,23,1
2007-10-24,2007,10,24,1
2007-10-25,2007,10,25,1
2007-10-26,2007,10,26,1
2007-10-27,2007,10,27,1
2007-10-28,2007,10,28,1
2007-10-29,2007,10,29,1
2007-10-30,2007,10,30,1
2007-10-31,2007,10,31,1
2007-11-01,2007,11,1,1
2007-11-02,2007,11,2,1
2007-11-03,2007,11,3,1
2007-11-04,2007,11,4,1
2007-11-05,2007,11,5,1
2007-11-06,2007,11,6,1
2007-11-07,2007,11,7,1
2007-11-08,2007,11,8,1
2007-11-09,2007,11,9,1
2007-11-10,2007,11,10,1
2007-11-11,2007,11,11,1
2007-11-12,2007,11,12,1
2007-11-13,2007,11,13,1
2007-11-14,2007,11,14,1
2007-11-15,2007,11,15,1
2007-11-16,2007,11,16,1
2007-11-17,2007,11,17,1
2007-11-18,2007,11,18,1
2007-11-19,2007,11,19,1
2007-11-20,2007,11,20,1
2007-11-21,2007,11,21,1
2007-11-22,2007,11,22,1
2007-11-23,2007,11,23,1
2007-11-24,2007,11,24,1
2007-11-25,2007,11,25,1
2007-11-26,2007,11,26,1
2007-11-27,2007,11,27,1
2007-11-28,2007,11,28,1
2007-11-29,2007,11,29,1
2007-11-30,2007,11,30,1
2007-12-01,2007,12,1,1
2007-12-02,2007,12,2,1
2007-12-03,2007,12,3,1
2007-12-04,2007,12,4,1
2007-12-05,2007,12,5,1
2007-12-06,2007,12,6,1
2007-12-07,2007,12,7,1
2007-12-08,2007,12,8,1
2007-12-09,2007,12,9,1
2007-12-10,2007,12,10,1
2007-12-11,2007,12,11,1
2007-12-12,2007,12,12,1
2007-12-13,2007,12,13,1
2007-12-14,2007,12,14,1
2007-12-15,2007,12,15,1
2007-12-16,2007,12,16,1
2007-12-17,2007,12,17,1
2007-12-18,2007,12,18,1
2007-12-19,2007,12,19,1
2007-12-20,2007,12,20,1
2007-12-21,2007,12,21,1
2007-12-22,2007,12,22,1
2007-12-23,2007,12,23,1
2007-12-24,2007,12,24,1
2007-12-25,2007,12,25,1
2007-12-26,2007,12,26,1
2007-12-27,2007,12,27,1
2007-12-28,2007,12,28,1
2007-12-29,2007,12,29,1
2007-12-30,2007,12,30,1
2007-12-31,2007,12,31,1
2008-01-01,2008,1,1,1
2008-01-02,2008,1,2,1
2008-01-03,2008,1,3,1
2008-01-04,2008,1,4,1
2008-01-05,2008,1,5,1
2010-07-05,2010,7,5,1
2010-07-06,2010,7,6,1
2010-07-07,2010,7,7,1
2010-07-08,2010,7,8,1
2010-07-09,2010,7,9,1
2010-07-10,2010,7,10,1
2010-07-11,2010,7,11,1
2010-07-12,2010,7,12,1
2010-07-13,2010,7,13,1
2010-07-14,2010,7,14,1
2010-07-15,2010,7,15,1
2010-07-16,2010,7,16,1
2010-07-17,2010,7,17,1
2010-07-18,2010,7,18,1
2010-07-19,2010,7,19,1
2010-07-20,2010,7,20,1
2010-07-21,2010,7,21,1
2010-07-22,2010,7,22,1
2010-07-23,2010,7,23,1
2010-07-24,2010,7,24,1
2010-07-25,2010,7,25,1
2010-07-26,2010,7,26,1
2010-07-27,2010,7,27,1
2010-07-28,2010,7,28,1
2010-07-29,2010,7,29,1
2010-07-30,2010,7,30,1
2010-07-31,2010,7,31,1
2010-08-01,2010,8,1,1
2010-08-02,2010,8,2,1
2010-08-03,2010,8,3,1
2010-08-04,2010,8,4,1
2010-08-05,2010,8,5,1
2010-08-06,2010,8,6,1
2010-08-07,2010,8,7,1
2010-08-08,2010,8,8,1
2010-08-09,2010,8,9,1
